fppc,det rate,tp,fp,fn,map,map_50,image_id,precision,recall,f1
0.04348,0.99457,183.0,8.0,1.0,0.4388747215270996,0.5445544719696045,umgy009-005,0.9581151832460733,0.9945652173913043,0.976
0.07143,1.0,28.0,2.0,0.0,0.8234619498252869,0.9489246010780334,100249537_00031_1,0.9333333333333333,1.0,0.9655172413793104
0.04959,0.98347,119.0,6.0,2.0,0.6471200585365295,0.8103959560394287,200015779_00013_1,0.952,0.9834710743801653,0.967479674796748
0.03704,0.95062,154.0,6.0,8.0,0.4294039905071258,0.5915091633796692,200021763-00027_2,0.9625,0.9506172839506173,0.9565217391304348
0.02582,0.96479,411.0,11.0,15.0,0.1759201884269714,0.2376237660646438,200022050-00011_2,0.9739336492890995,0.9647887323943662,0.9693396226415095
0.16071,0.98214,165.0,27.0,3.0,0.4600463807582855,0.594059407711029,200021712-00031_1,0.859375,0.9821428571428571,0.9166666666666665
0.01258,0.99371,158.0,2.0,1.0,0.5108175873756409,0.6237623691558838,200021712-00014_1,0.9875,0.9937106918238994,0.9905956112852665
0.33333,0.83333,5.0,2.0,1.0,0.6284653544425964,0.8316831588745117,hnsd003-013,0.7142857142857143,0.8333333333333334,0.7692307692307692
0.00465,1.0,215.0,1.0,0.0,0.3974807858467102,0.4653465449810028,200003076_00160_2,0.9953703703703703,1.0,0.9976798143851509
0.02917,0.925,222.0,7.0,18.0,0.3432472646236419,0.4158415794372558,200015779_00022_1,0.9694323144104804,0.925,0.9466950959488274
0.0197,0.97537,198.0,4.0,5.0,0.4195491373538971,0.4950495064258575,hnsd006-008,0.9801980198019802,0.9753694581280788,0.9777777777777779
0.0,0.98596,351.0,0.0,5.0,0.2384022176265716,0.2871287167072296,brsk002-045,1.0,0.9859550561797753,0.992927864214993
0.02273,0.92045,243.0,6.0,21.0,0.3270499408245086,0.3762376308441162,200015779_00020_2,0.9759036144578314,0.9204545454545454,0.9473684210526315
0.05229,1.0,153.0,8.0,0.0,0.5449554920196533,0.6534653306007385,200015779_00074_2,0.9503105590062112,1.0,0.9745222929936307
0.03881,0.98209,329.0,13.0,6.0,0.2301328331232071,0.2970297038555145,brsk003-039,0.9619883040935673,0.982089552238806,0.9719350073855244
0.175,1.0,40.0,7.0,0.0,0.7780961990356445,0.993278980255127,100249537_00004_1,0.851063829787234,1.0,0.9195402298850576
2.17647,0.82353,14.0,37.0,3.0,0.4603594839572906,0.6137475371360779,200021660-00029_2,0.27450980392156865,0.8235294117647058,0.4117647058823529
